YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
1971,ASHE,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,829,
1971,N3 CATTLE CO. #2,Santa Clara CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,800,
1971,PITNEY,Mendocino National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"1,150",771,
1971,MARQUERITE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,732,
1971,,San Bernardino National Forest,USDA Forest Service,Arson,Suppression (Wildfire),730,664,
1971,,Vandenberg Air Force Base,Department of Defense,Unknown / Unidentified,Suppression (Wildfire),0,614,
1971,NEW HOGAN,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,575,
1971,,San Bernardino National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),480,565,
1971,P.G.&E. #9,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,549,
1971,TIONESTA,Modoc National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),721,533,
1971,SEQUOIA FIRE/USFS,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,511,
1971,CHICKA BALLY MTN.,Lassen - Modoc CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,489,
1971,MENDENHALL FIRE/USFS,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,425,
1971,CASTERLINE,Siskiyou CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,421,
1971,UNKNOWN,Sequoia National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),154,379,
1971,WHITE SPRINGS,Cleveland National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),250,379,
1971,BENMORE,Mendocino National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),395,375,
1971,GOODWIN DAM,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,371,
1971,MARIANI,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,363,
1971,ROCKY,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),525,360,
1971,LODI FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,343,
1971,TEXAS FIRE/USFS,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,339,
1971,RED FIR,Klamath National Forest,USDA Forest Service,Debris,Suppression (Wildfire),0,338,
1971,MONTEZUMA FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,286,
1971,BARBREE #2,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,266,
1971,GLACIER VIEW,Klamath National Forest,USDA Forest Service,Debris,Suppression (Wildfire),200,253,
1971,BALL DOME,Sequoia - Kings Canyon NP,National Park Service,Lightning,Resource Benefit (WFU),140,244,
1971,CAMARILLO GROVE FIRE,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,243,
1971,,Six Rivers National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),241,243,
1971,,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,206,
1971,PUENTE FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,165,
1971,,Pinnacles National Park,National Park Service,Unknown / Unidentified,Suppression (Wildfire),164,164,Greenlee & Moldenke only mpd to prk bndry
1971,MUREAU FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,145,
1971,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,144,
1971,,Plumas National Forest,USDA Forest Service,Debris,Suppression (Wildfire),130,140,
1971,,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,133,
1971,GARTEL FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,119,
1971,SILVER MTN.,Stanislaus National Forest,USDA Forest Service,Arson,Suppression (Wildfire),120,112,20090305
1971,ANAHUAC,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),97,110,
1971,N3 CATTLE CO. #3,Santa Clara CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,110,
1971,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,108,
1970,LAGUNA,Cleveland National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"174,158","174,162",
1970,CLAMPITT FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"115,537",
1970,BEAR,San Bernardino National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"53,100","51,655",
1970,BUCKEYE,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"42,308",
1970,,San Bernardino National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"33,920","37,472",
1970,RANKIN RANCH,Kern County,Contract County,Miscellaneous,Suppression (Wildfire),0,"35,976",
1970,WRIGHT FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"28,202",
1970,RED MOUNTAIN,Sequoia National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),"25,600","25,492",
1970,AGUA DULCE FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"21,756",
1970,BOULDER,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"12,830",
1970,MAYO FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"7,144",
